# id	description_da_full	description_en	confidence
1827	Omegnslaboratorier, Plasma-Parotitisvirus	Regional laboratories, Plasma mumps virus	high
1824	Omegnslaboratorier, Plasma-Oxcarbazepin	Regional laboratories, Plasma oxcarbazepine	high
2324	Diagnostisk radiologi, Cholecystografi	Diagnostic radiology, Cholecystography	high
1733	Omegnslaboratorier, Blod-Type-Rhesus 6	Regional laboratories, Blood type Rhesus 6	high
1845	Omegnslaboratorier, Plasma-Theophyllin 62	Regional laboratories, Plasma theophylline 62	high
97	Ørelægevagt KAK, Impedansaudiometri	ENT on-call, KAK, Impedance audiometry	high
1767	Omegnslaboratorier, Plasma-Calcium (ii)-ion	Regional laboratories, Plasma calcium (ii) ion	high
1741	Omegnslaboratorier, Fæces-Giardia lamblia	Regional laboratories, Faeces Giardia lamblia	high
1896	Omegnslaboratorier, Urin-Cortisol, frit	Regional laboratories, Urine cortisol, free	high
1826	Omegnslaboratorier, Plasma-Parathormon	Regional laboratories, Plasma parathyroid hormone	high
1859	Omegnslaboratorier, Plasma-Zink	Regional laboratories, P-Zinc	high
3699	Almen lægehjælp 80, Tympanometri/Registrering	General practitioner, tympanometry/registration	high
3622	Almen lægehjælp 80, Registrering	General practitioner, registration	high
3681	Almen lægehjælp 80, Tillæg ved Hib-vaccination	General practitioner, supplement for Hib vaccination	high
2737	Fysioterapi 61, Ledmobilisering	Physiotherapy 61, joint mobilisation	high
2744	Fysioterapi 61, Termisk behandling	Physiotherapy 61, thermal treatment	high
2739	Fysioterapi 61, Massage	Physiotherapy 61, massage	high
3485	Almen lægehjælp 80, Hjemmebesøg i Odder	General practitioner, home visit in Odder	high
1281	Københavns Praktiserende Lægers Laboratorium, LD-isoenzym 1	Copenhagen GP Laboratory (KPLL), LD isoenzyme 1	high
1433	Københavns Praktiserende Lægers Laboratorium, Reticulocytter	Copenhagen GP Laboratory (KPLL), reticulocytes	high
1413	Københavns Praktiserende Lægers Laboratorium, Prostata-specifikt antigen	Copenhagen GP Laboratory (KPLL), prostate-specific antigen	high
1478	Københavns Praktiserende Lægers Laboratorium, Syfilistest for gravide	Copenhagen GP Laboratory (KPLL), syphilis test for pregnant women	high
3604	Almen lægehjælp 80, Plasma-kreatinin	General practitioner, P-creatinine	high
1283	Københavns Praktiserende Lægers Laboratorium, LDL-cholesterol	Copenhagen GP Laboratory (KPLL), LDL cholesterol	high
1524	Københavns Praktiserende Lægers Laboratorium, Urin-partikler (Urin-mikroskopi)	Copenhagen GP Laboratory (KPLL), U-particles (U-microscopy)	high
1107	Københavns Praktiserende Lægers Laboratorium, Erythrocytter;Urin	Copenhagen GP Laboratory (KPLL), erythrocytes ;U	high
1102	Københavns Praktiserende Lægers Laboratorium, Epitelceller;Urin	Copenhagen GP Laboratory (KPLL), epithelial cells ;U	high
1508	Københavns Praktiserende Lægers Laboratorium, Trichomonas;Urin	Copenhagen GP Laboratory (KPLL), Trichomonas ;U	high
3601	Almen lægehjælp 80, Plasma-ASAT	General practitioner, P-ASAT	high
1266	Københavns Praktiserende Lægers Laboratorium, Koagulationstid	Copenhagen GP Laboratory (KPLL), coagulation time	high
1519	Københavns Praktiserende Lægers Laboratorium, Urin-Bence Jones-undersøgelse	Copenhagen GP Laboratory (KPLL), U-Bence Jones investigation	high
1560	Københavns Praktiserende Lægers Laboratorium, Urin-osteoporoseprofil	Copenhagen GP Laboratory (KPLL), u-osteoporosis profile	high
1367	Københavns Praktiserende Lægers Laboratorium, Osteoporoseprofil	Copenhagen GP Laboratory (KPLL), osteoporosis profile	high
1554	Københavns Praktiserende Lægers Laboratorium, døgnUrin-Katekolaminer	Copenhagen GP Laboratory (KPLL), dU-catecholamines	high
3603	Almen lægehjælp 80, Plasma-cholesterol	General practitioner, P-cholesterol	high
1063	Københavns Praktiserende Lægers Laboratorium, Cryoglobuliner	Copenhagen GP Laboratory (KPLL), cryoglobulins	high
3606	Almen lægehjælp 80, Plasma-triglycerid	General practitioner, P-triglyceride	high
1500	Københavns Praktiserende Lægers Laboratorium, Total hæmolyse	Copenhagen GP Laboratory (KPLL), total haemolysis	high
1470	Københavns Praktiserende Lægers Laboratorium, Start hæmolyse	Copenhagen GP Laboratory (KPLL), onset haemolysis	high
3607	Almen lægehjælp 80, Plasma-urat	General practitioner, P-urate	high
3598	Almen lægehjælp 80, Plasma-Kreatin-Kinase	General practitioner, P-creatine kinase	high
1920	Statens Seruminstitut, ANCA (IgG) screening	Statens Serum Institut, ANCA (IgG) screening	high
2161	Statens Seruminstitut, Parasitter mikroskopi	Statens Serum Institut, parasites microscopy	high
2221	Statens Seruminstitut, Syfilis og HIV antistof	Statens Serum Institut, syphilis and HIV antibody	high
2245	Statens Seruminstitut, Tarmpatogene bakterier	Statens Serum Institut, intestinal pathogenic bacteria	high
2892	Psykologhjælp, To-personers konsultation	Psychology service, two-person consultation	high
1333	Københavns Praktiserende Lægers Laboratorium, Mikroalbumin	Copenhagen GP Laboratory (KPLL), microalbumin	high
1526	Københavns Praktiserende Lægers Laboratorium, Urin-kreatinin	Copenhagen GP Laboratory (KPLL), U-creatinine	high
2026	Statens Seruminstitut, Enterovirus (EV), isolation	Statens Serum Institut, enterovirus (EV), isolation	medium
2170	Statens Seruminstitut, Pityrosporum/Malassezia	Statens Serum Institut, Pityrosporum/Malassezia	high
2040	Statens Seruminstitut, GS-ANA (IgG screening)	Statens Serum Institut, GS-ANA (IgG screening)	high
2135	Statens Seruminstitut, Mononukleose (Paul-Bunnell)	Statens Serum Institut, mononucleosis (Paul-Bunnell)	medium
2255	Statens Seruminstitut, Toxoplasma, Elisa G	Statens Serum Institut, Toxoplasma, Elisa G	high
2238	Statens Seruminstitut, TPB Standard + 5 supplerende	Statens Serum Institut, TPB standard + 5 supplementary	medium
2037	Statens Seruminstitut, Fund af middel til	Statens Serum Institut, finding of agent for	low
2123	Statens Seruminstitut, Lymfogranuloma-Venereum	Statens Serum Institut, lymphogranuloma venereum	high
2194	Statens Seruminstitut, Retikulin antistoffer	Statens Serum Institut, reticulin antibodies	high
2057	Statens Seruminstitut, HIV 1/2 konfirmatorisk	Statens Serum Institut, HIV 1/2 confirmatory	high
1951	Statens Seruminstitut, Andre bakterier	Statens Serum Institut, other bacteria	high
2237	Statens Seruminstitut, TPB Standard + 4 supplerende	Statens Serum Institut, TPB standard + 4 supplementary	medium
2041	Statens Seruminstitut, GS-ANA (IgG) screening	Statens Serum Institut, GS-ANA (IgG) screening	high
1932	Statens Seruminstitut, Adenovirus og Respiratorisk	Statens Serum Institut, adenovirus and respiratory	medium
2103	Statens Seruminstitut, Influenzavirus antistof	Statens Serum Institut, influenza virus antibody	high
2222	Statens Seruminstitut, Syfilis udvidet STS	Statens Serum Institut, syphilis extended STS	medium
1994	Statens Seruminstitut, Coeliaki mistanke	Statens Serum Institut, coeliac disease suspicion	high
1475	Københavns Praktiserende Lægers Laboratorium, Svedtest, ledningsevne	Copenhagen GP Laboratory (KPLL), sweat test, conductivity	high
1978	Statens Seruminstitut, Calicivirus (Norwalk)	Statens Serum Institut, calicivirus (Norwalk)	high
3616	Almen lægehjælp 80, Projekt Lildholt	General practitioner, Lildholt project	medium
3043	Gynækologi/obstetrik, Skift af ringpessar	Gynaecology/obstetrics, replacement of ring pessary	medium
1959	Statens Seruminstitut, Antibiotika koncentration	Statens Serum Institut, antibiotic concentration	high
3686	Almen lægehjælp 80, Timehonorar A60 (amt 60)	General practitioner, hourly fee (county 60)	high
2139	Statens Seruminstitut, Mycobacterium tuberculosis	Statens Serum Institut, Mycobacterium tuberculosis	high
1017	Københavns Praktiserende Lægers Laboratorium, Cøliaki-pakke;Plasma	Copenhagen GP Laboratory (KPLL), coeliac panel ;P	high
1569	Medicinsk Laboratorium, ADRENALIN + NORADRENALIN	Medical Laboratory, adrenaline + noradrenaline	high
1711	Medicinsk Laboratorium, Urin-5-HIAA 11	Medical Laboratory, U-5-HIAA 11	high
1635	Medicinsk Laboratorium, Serum-ALLERGENER, 3	Medical Laboratory, S-allergens, 3	high
1632	Medicinsk Laboratorium, Serum-ALLERGEN, 1	Medical Laboratory, S-allergen, 1	high
2042	Statens Seruminstitut, Gamle parasitundersøgelser	Statens Serum Institut, old parasite investigations	medium
1702	Medicinsk Laboratorium, Serum-ZINK URIN 11	Medical Laboratory, S-zinc urine 11	medium
1644	Medicinsk Laboratorium, Serum-C-peptid (pro-Insulin)	Medical Laboratory, S-C-peptide (pro-insulin)	high
1638	Medicinsk Laboratorium, Serum-ALLERGY SCREEN	Medical Laboratory, S-allergy screen	high
2660	Fodbehandling arvævspatienter, Behandling modul 15-20 minutter	Foot treatment, scar-tissue patients, treatment module 15-20 min	high
1590	Medicinsk Laboratorium, LIPIDSTATUS	Medical Laboratory, lipid status	high
3315	Almen lægehjælp 80, 1. opfølgende helbredsundersøgelse (2 måneder) A50 (amt 50)	General practitioner, 1st follow-up health examination (2 months) (county 50)	medium
1410	Københavns Praktiserende Lægers Laboratorium, Projekt Mor-Barn	Copenhagen GP Laboratory (KPLL), Mother-Child Project	high
1665	Medicinsk Laboratorium, Serum-immunglobulin E	Medical Laboratory, serum immunoglobulin E	high
1636	Medicinsk Laboratorium, Serum-allergener, 4	Medical Laboratory, serum allergens, 4	high
1586	Medicinsk Laboratorium, Hæmatologi 2	Medical Laboratory, haematology 2	high
1627	Medicinsk Laboratorium, Serum-ALAT	Medical Laboratory, serum ALT (alanine aminotransferase)	high
1652	Medicinsk Laboratorium, Serum-cholesterol total	Medical Laboratory, serum total cholesterol	high
1642	Medicinsk Laboratorium, Serum-basisk fosfatase	Medical Laboratory, serum alkaline phosphatase	high
1696	Medicinsk Laboratorium, Serum-triglycerid	Medical Laboratory, serum triglyceride	high
1643	Medicinsk Laboratorium, Serum-bilirubiner	Medical Laboratory, serum bilirubins	high
1699	Medicinsk Laboratorium, Serum-urat	Medical Laboratory, serum urate	high
1657	Medicinsk Laboratorium, Serum-kreatinin	Medical Laboratory, serum creatinine	high
1634	Medicinsk Laboratorium, Serum-allergener, 2	Medical Laboratory, serum allergens, 2	high
1633	Medicinsk Laboratorium, Serum-allergener, 10	Medical Laboratory, serum allergens, 10	high
3619	Almen lægehjælp 80, Psykiatri projekt A15	General practitioner, psychiatry project (county 15)	medium
3308	Almen lægehjælp 80, 1. helbredssamtale A80	General practitioner, 1st health consultation (county 80)	high
1628	Medicinsk Laboratorium, Serum-aldolase	Medical Laboratory, serum aldolase	high
1631	Medicinsk Laboratorium, Serum-allergener husstøv 1	Medical Laboratory, serum allergens, house dust 1	medium
1649	Medicinsk Laboratorium, Serum-calcium ioniseret	Medical Laboratory, serum ionised calcium	high
1587	Medicinsk Laboratorium, Hæmatologi 3	Medical Laboratory, haematology 3	high
2654	Fodbehandling arvævspatienter, Afstandstillæg pensionist 0-10 km	Foot treatment, scar-tissue patients, distance supplement pensioner 0-10 km	high
3323	Almen lægehjælp 80, 2. opfølgende helbredssamtale (2 måneder) A50	General practitioner, 2nd follow-up health consultation (2 months) (county 50)	medium
2656	Fodbehandling arvævspatienter, Afstandstillæg plejehjem 0-10 km	Foot treatment, scar-tissue patients, distance supplement nursing home 0-10 km	high
1588	Medicinsk Laboratorium, Hæmoglobinfraktioner	Medical Laboratory, haemoglobin fractions	high
1695	Medicinsk Laboratorium, Serum-transferrin	Medical Laboratory, serum transferrin	high
1668	Medicinsk Laboratorium, Serum-jern Fe 8	Medical Laboratory, serum iron (Fe) 8	high
1570	Medicinsk Laboratorium, Allergenspecifikt IgE	Medical Laboratory, allergen-specific IgE	high
1637	Medicinsk Laboratorium, Serum-allergener, 5	Medical Laboratory, serum allergens, 5	high
1585	Medicinsk Laboratorium, Hæmatologi 1	Medical Laboratory, haematology 1	high
1660	Medicinsk Laboratorium, Serum-estradiol kvinde 10	Medical Laboratory, serum estradiol, female 10	medium
1653	Medicinsk Laboratorium, Serum-cobalamin B12 8	Medical Laboratory, serum cobalamin (B12) 8	high
2655	Fodbehandling arvævspatienter, Afstandstillæg pensionist over 10 km	Foot treatment, scar-tissue patients, distance supplement pensioner over 10 km	high
1640	Medicinsk Laboratorium, Serum-angiotensin converting enzym	Medical Laboratory, serum angiotensin-converting enzyme	high
1661	Medicinsk Laboratorium, Serum-ferritin 10	Medical Laboratory, serum ferritin 10	high
1720	Medicinsk Laboratorium, alfa-amylasefraktioner	Medical Laboratory, alpha-amylase fractions	high
1600	Medicinsk Laboratorium, Plasma-methylmalonat U	Medical Laboratory, plasma methylmalonate, urine	medium
1645	Medicinsk Laboratorium, Serum-C-reaktivt protein	Medical Laboratory, serum C-reactive protein	high
1692	Medicinsk Laboratorium, Serum-testosteron	Medical Laboratory, serum testosterone	high
3424	Almen lægehjælp 80, Demens A50	General practitioner, dementia (county 50)	high
1435	Københavns Praktiserende Lægers Laboratorium, Retikulocytfraktion	Copenhagen GP Laboratory (KPLL), reticulocyte fraction	high
2197	Statens Seruminstitut, Reumatoid artrit (n	Statens Serum Institut, rheumatoid arthritis (n	medium
2244	Statens Seruminstitut, Tarmbakterier standardanalyse + 1	Statens Serum Institut, intestinal bacteria standard analysis + 1	medium
1704	Medicinsk Laboratorium, Sperma-spermaundersøgelse	Medical Laboratory, semen, semen analysis	high
1592	Medicinsk Laboratorium, Narkotikascreening	Medical Laboratory, drug screening	high
1599	Medicinsk Laboratorium, Plasma-homocystein total	Medical Laboratory, plasma total homocysteine	high
1549	Københavns Praktiserende Lægers Laboratorium, Yersinia-antistoffer udgår?	Copenhagen GP Laboratory (KPLL), Yersinia antibodies, discontinued?	low
1712	Medicinsk Laboratorium, Urin-acetoacetat	Medical Laboratory, urine acetoacetate	high
1578	Medicinsk Laboratorium, Blod-sænkning	Medical Laboratory, blood sedimentation rate	high
230	Øjenlægehjælp, Venteliste grå stær / B015	Ophthalmology service, waiting list cataract / B015	high
1589	Medicinsk Laboratorium, Koagulationsfaktorer	Medical Laboratory, coagulation factors	high
1495	Københavns Praktiserende Lægers Laboratorium, Thalassæmiindeks	Copenhagen GP Laboratory (KPLL), thalassaemia index	high
1965	Statens Seruminstitut, Autoimmun thyreoiditis	Statens Serum Institut, autoimmune thyroiditis	high
2259	Statens Seruminstitut, Transport af pakker	Statens Serum Institut, transport of packages	high
1067	Københavns Praktiserende Lægers Laboratorium, D-Dimer;Plasma	Copenhagen GP Laboratory (KPLL), D-dimer;P (plasma)	high
99	Ørelægevagt KAK, Paracentese	ENT on-call, KAK, paracentesis	high
1953	Statens Seruminstitut, Androgenstatus eksklusive	Statens Serum Institut, androgen status excluding	medium
2289	Statens Seruminstitut, Østrogenstatus eksklusive	Statens Serum Institut, oestrogen status excluding	medium
2229	Statens Seruminstitut, TPB + 1-4 coli	Statens Serum Institut, TPB + 1-4 coli	low
2153	Statens Seruminstitut, Positiv ANCA 488	Statens Serum Institut, positive ANCA 488	medium
2376	Diagnostisk radiologi, Tindingeben halvt	Diagnostic radiology, temporal bone, half	medium
864	Dermato-venerologi, Laserskud	Dermato-venereology, laser shot	high
2740	Fysioterapi 61, Neurofysioterapi	Physiotherapy 61, neurophysiotherapy	high
3153	Intern medicin, Lungefunktion spirometri med reversibilitet	Internal medicine, lung function spirometry with reversibility	high
4075	Kirurgi, Duplexscanner A15	Surgery, duplex scanner (county 15)	high
4069	Kirurgi, CW-doppler A15	Surgery, CW (continuous-wave) doppler (county 15)	high
3154	Intern medicin, Lungefunktion spirometri uden reversibilitet	Internal medicine, lung function spirometry without reversibility	high
136	Øjenlægehjælp, § 3-aftale grå stær	Ophthalmology service, § 3 agreement cataract	high
4225	Kirurgi, sigmoideoskopi eller koloskopi	Surgery, sigmoidoscopy or colonoscopy	high
236	Øjenlægehjælp, operation grå stær I / forundersøgelse	Ophthalmology service, cataract operation I / preliminary examination	high
3398	Almen lægehjælp 80, Besøg hjælpepersonale rute	General practitioner, visit by support staff, route	medium
4138	Kirurgi, Operation åreknuder eksklusive lyske venstre	Surgery, varicose vein operation excluding groin, left	medium
592	Pædiatri, 1. konsultation	Paediatrics, 1st consultation	high
594	Pædiatri, 1. konsultation (allergi) (amt 35)	Paediatrics, 1st consultation (allergology) (county 35)	high
595	Pædiatri, 1. konsultation adfærdsforstyrrelse	Paediatrics, 1st consultation, behavioural disorder	medium
596	Pædiatri, 2. konsultation	Paediatrics, 2nd consultation	high
598	Pædiatri, 2. konsultation (allergi) (amt 35)	Paediatrics, 2nd consultation (allergology) (county 35)	high
599	Pædiatri, afstandstillæg	Paediatrics, distance supplement	high
603	Pædiatri, B-differentialtælling 6	Paediatrics, blood differential count 6	high
